"","DATE","PN","CN","COVID"
"1",20190201,-0.129881688526698,4450,0
"2",20190202,-0.129881688526699,5343,0
"3",20190203,-0.129881688526699,5191,0
"4",20190204,-0.129881688526699,4511,0
"5",20190205,-0.129881688526698,3559,0
"6",20190206,-0.129881688526698,4185,0
"7",20190207,-0.129881688526698,3335,0
"8",20190208,-0.129881688526698,3835,0
"9",20190209,-0.129881688526699,5025,0
"10",20190210,-0.129881688526698,4714,0
"11",20190211,-0.129881688526698,3460,0
"12",20190212,-0.129881688526698,3235,0
"13",20190213,-0.129881688526698,3868,0
"14",20190214,-0.129881688526699,4478,0
"15",20190215,-0.129881688526699,4519,0
"16",20190216,-0.129881688526699,6335,0
"17",20190217,-0.129881688526699,5443,0
"18",20190218,-0.129881688526698,3867,0
"19",20190219,-0.129881688526698,3371,0
"20",20190220,-0.129881688526698,3849,0
"21",20190221,-0.129881688526698,3833,0
"22",20190222,-0.129881688526699,4262,0
"23",20190223,-0.129881688526699,6690,0
"24",20190224,-0.129881688526699,5661,0
"25",20190225,-0.129881688526698,3907,0
"26",20190226,-0.129881688526698,3793,0
"27",20190227,-0.129881688526699,4030,0
"28",20190228,-0.129881688526699,4338,0
"29",20190301,-0.245236081736428,6521,0
"30",20190302,-0.245236081736428,6447,0
"31",20190303,-0.245236081736428,4895,0
"32",20190304,-0.245236081736429,3150,0
"33",20190305,-0.245236081736429,3033,0
"34",20190306,-0.245236081736429,3373,0
"35",20190307,-0.245236081736429,3163,0
"36",20190308,-0.245236081736429,3786,0
"37",20190309,-0.245236081736428,5395,0
"38",20190310,-0.245236081736429,4826,0
"39",20190311,-0.245236081736429,3304,0
"40",20190312,-0.245236081736429,3280,0
"41",20190313,-0.245236081736429,3497,0
"42",20190314,-0.245236081736429,3945,0
"43",20190315,-0.245236081736429,4009,0
"44",20190316,-0.245236081736428,6280,0
"45",20190317,-0.245236081736428,5161,0
"46",20190318,-0.245236081736429,3383,0
"47",20190319,-0.245236081736429,3273,0
"48",20190320,-0.245236081736429,3774,0
"49",20190321,-0.245236081736429,3572,0
"50",20190322,-0.245236081736429,4086,0
"51",20190323,-0.245236081736428,6178,0
"52",20190324,-0.245236081736428,4994,0
"53",20190325,-0.245236081736429,3274,0
"54",20190326,-0.245236081736429,3295,0
"55",20190327,-0.245236081736429,3549,0
"56",20190328,-0.245236081736429,3804,0
"57",20190329,-0.245236081736429,4258,0
"58",20190330,-0.245236081736428,6184,0
"59",20190331,-0.245236081736428,4943,0
"60",20190401,-0.572653795991625,3203,0
"61",20190402,-0.572653795991624,3296,0
"62",20190403,-0.572653795991624,3608,0
"63",20190404,-0.572653795991625,3646,0
"64",20190405,-0.572653795991624,3838,0
"65",20190406,-0.572653795991622,5917,0
"66",20190407,-0.572653795991624,4959,0
"67",20190408,-0.572653795991626,3233,0
"68",20190409,-0.572653795991625,3398,0
"69",20190410,-0.572653795991625,3474,0
"70",20190411,-0.572653795991625,3677,0
"71",20190412,-0.572653795991623,4497,0
"72",20190413,-0.572653795991622,5831,0
"73",20190414,-0.572653795991624,4695,0
"74",20190415,-0.572653795991625,3341,0
"75",20190416,-0.572653795991625,3661,0
"76",20190417,-0.572653795991625,3456,0
"77",20190418,-0.572653795991625,3847,0
"78",20190419,-0.572653795991625,4170,0
"79",20190420,-0.572653795991623,6517,0
"80",20190421,-0.572653795991623,5098,0
"81",20190422,-0.572653795991626,3486,0
"82",20190423,-0.572653795991625,3560,0
"83",20190424,-0.572653795991624,3715,0
"84",20190425,-0.572653795991624,4058,0
"85",20190426,-0.572653795991624,4355,0
"86",20190427,-0.572653795991622,6104,0
"87",20190428,-0.572653795991624,5241,0
"88",20190429,-0.572653795991625,3387,0
"89",20190430,-0.572653795991625,3894,0
"90",20190501,-0.518804080784321,3887,0
"91",20190502,-0.518804080784321,3249,0
"92",20190503,-0.518804080784321,3880,0
"93",20190504,-0.518804080784321,5712,0
"94",20190505,-0.518804080784321,5680,0
"95",20190506,-0.518804080784321,4341,0
"96",20190507,-0.518804080784321,3419,0
"97",20190508,-0.518804080784321,3903,0
"98",20190509,-0.518804080784321,3578,0
"99",20190510,-0.518804080784321,3976,0
"100",20190511,-0.518804080784321,5969,0
"101",20190512,-0.518804080784321,5054,0
"102",20190513,-0.518804080784321,3222,0
"103",20190514,-0.518804080784321,3519,0
"104",20190515,-0.518804080784321,3507,0
"105",20190516,-0.518804080784321,3697,0
"106",20190517,-0.518804080784321,4277,0
"107",20190518,-0.518804080784321,6131,0
"108",20190519,-0.518804080784321,4962,0
"109",20190520,-0.518804080784321,3572,0
"110",20190521,-0.518804080784321,3408,0
"111",20190522,-0.518804080784321,3487,0
"112",20190523,-0.518804080784321,3601,0
"113",20190524,-0.518804080784321,4262,0
"114",20190525,-0.518804080784321,6686,0
"115",20190526,-0.518804080784321,4977,0
"116",20190527,-0.518804080784321,3539,0
"117",20190528,-0.518804080784321,3535,0
"118",20190529,-0.518804080784321,3629,0
"119",20190530,-0.518804080784321,3808,0
"120",20190531,-0.518804080784321,4388,0
"121",20200201,-0.101845216751098,4725,0
"122",20200202,-0.101845216751098,3828,2
"123",20200203,-0.101845216751098,3130,15
"124",20200204,-0.101845216751098,3376,0
"125",20200205,-0.101845216751098,3423,18
"126",20200206,-0.101845216751098,3337,23
"127",20200207,-0.101845216751098,3681,24
"128",20200208,-0.101845216751098,4163,24
"129",20200209,-0.101845216751098,3923,27
"130",20200210,-0.101845216751098,3319,27
"131",20200211,-0.101845216751098,3388,28
"132",20200212,-0.101845216751098,3007,28
"133",20200213,-0.101845216751098,3557,28
"134",20200214,-0.101845216751098,4454,28
"135",20200215,-0.101845216751098,4879,28
"136",20200216,-0.101845216751098,4279,29
"137",20200217,-0.101845216751098,3137,30
"138",20200218,-0.101845216751098,3395,31
"139",20200219,-0.101845216751098,3221,51
"140",20200220,-0.101845216751098,3366,104
"141",20200221,-0.101845216751098,3308,204
"142",20200222,-0.101845216751098,3628,433
"143",20200223,-0.101845216751098,3116,602
"144",20200224,-0.101845216751098,2749,833
"145",20200225,-0.101845216751098,2321,893
"146",20200226,-0.101845216751098,2463,1261
"147",20200227,-0.101845216751098,2165,1766
"148",20200228,-0.101845216751098,2420,2337
"149",20200301,0.737084289391834,2281,3736
